City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
138,Jalalpur Pirwala,PK,62.22,scattered clouds,29.5069,71.2192,Bhatti Easy Paisa Shop
139,Gat,IL,61.39,clear sky,31.61,34.7642,OlusHome
140,Kerema,PG,78.89,overcast clouds,-7.9631,145.7785,Frena Lodge
141,Laharpur,IN,62.26,overcast clouds,27.7167,80.9,Babu Ji Moeed
144,Davila,PH,71.58,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
145,Cavalcante,BR,69.04,overcast clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
146,Caravelas,BR,77.9,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
147,Chau Doc,VN,75.43,overcast clouds,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
148,Cururupu,BR,73.87,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
149,Praia Da Vitoria,PT,62.85,broken clouds,38.7333,-27.0667,Hotel Branco I
150,Lagoa,PT,60.37,overcast clouds,39.05,-27.9833,Casa Das Faias
154,Faanui,PF,81.82,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
155,Kruisfontein,ZA,73.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
157,Flinders,AU,74.37,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
159,Sidrolandia,BR,83.19,overcast clouds,-20.9319,-54.9614,Agropet São Francisco
160,Tura,IN,65.21,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
161,Esperance,AU,62.06,clear sky,-33.8667,121.9,Hospitality Esperance
162,Takoradi,GH,80.42,clear sky,4.8845,-1.7554,Raybow International Hotel
165,Hobyo,SO,78.19,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
167,Madang,PG,77.32,light rain,-5.2246,145.7966,Comfort Inn Hotel
169,Rawson,AR,75.33,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
174,Mount Isa,AU,78.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
175,Bredasdorp,ZA,69.28,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
181,Teknaf,BD,68.95,scattered clouds,20.8624,92.3058,Forestry Guesthouse
182,Puri,IN,75.72,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
184,Nelson Bay,AU,77.05,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
185,Odweyne,SO,67.5,few clouds,9.4092,45.064,Eng Hiirey House
186,Pemba,MZ,75.9,scattered clouds,-12.974,40.5178,Guesthouse Samotina
191,Baghdad,IQ,64.31,broken clouds,33.3406,44.4009,Baghdad Hotel
192,Dariba,IN,65.59,overcast clouds,24.95,74.1333,JDO Hostel
196,Rocha,UY,69.46,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
197,Nishihara,JP,61.88,overcast clouds,26.1842,127.7558,Minshuku Agaihama
199,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
200,Byron Bay,AU,78.75,broken clouds,-28.65,153.6167,Backpackers Inn
207,Carnarvon,AU,69.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
208,Rosarito,MX,63.64,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
210,Namatanai,PG,81.86,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
213,La Paz,BO,64.38,scattered clouds,-16.5,-68.15,Hotel Presidente
215,Borba,BR,77.32,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
218,Sola,VU,83.37,scattered clouds,-13.8833,167.55,Leumerus Bungalows
219,Parkes,AU,70.36,overcast clouds,-33.1333,148.1833,Station Motel
220,Cayenne,GF,75.24,light rain,4.9333,-52.3333,Hôtel Le Dronmi
221,Viedma,AR,79.05,overcast clouds,-40.8135,-62.9967,Hotel Cristal
222,Akyab,MM,71.08,broken clouds,20.15,92.9,Hotel Memory
223,Mitzic,GA,69.08,moderate rain,0.7821,11.549,Motel Emys
224,Jacareacanga,BR,77.0,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
225,Luwuk,ID,77.16,heavy intensity rain,-0.9516,122.7875,Hotel Santika Luwuk
228,El Alto,PE,78.46,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
230,Ambovombe,MG,73.26,clear sky,-25.1667,46.0833,RELAHARA
231,Buraydah,SA,77.45,overcast clouds,26.326,43.975,Mövenpick Qassim
234,Pochutla,MX,89.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
237,Tigre,AR,78.28,clear sky,-34.426,-58.5796,Puerto Delta Apartamentos
238,Jizan,SA,77.94,scattered clouds,17.3333,42.6667,شهدان. ابوالحجر
242,Broken Hill,AU,65.61,clear sky,-31.95,141.4333,Royal Exchange Hotel
243,Gambela,ET,86.07,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
245,Cairo,EG,61.56,scattered clouds,30.0626,31.2497,Grand Hotel
247,Les Cayes,HT,80.24,few clouds,18.2,-73.75,Villa Orphee
249,Tela,HN,87.08,scattered clouds,15.7833,-87.45,Hotel & Restaurante Cesar Mariscos
253,Saldanha,ZA,68.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
255,San Ramon,US,66.42,clear sky,37.7799,-121.978,San Ramon Marriott
256,Mucuri,BR,78.89,light rain,-18.0864,-39.5508,La Bodeguita Pousada
260,Matara,LK,75.92,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
261,Tagusao,PH,78.21,overcast clouds,9.1924,117.8141,Green Villa beach resort
265,Yulara,AU,71.44,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
266,Ruteng,ID,61.86,overcast clouds,-8.6136,120.4721,Hotel FX 72
267,Cockburn Town,TC,76.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
268,New Bern,US,78.84,clear sky,35.1085,-77.0441,Hampton Inn New Bern
269,Fomboni,KM,82.69,overcast clouds,-12.28,43.7425,Auberge les abou
270,Vanimo,PG,78.78,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
272,Bomet,KE,60.01,broken clouds,-0.7813,35.3416,Mosop Annex club
273,Sisophon,KH,80.13,overcast clouds,13.5859,102.9737,Pyramid Hotel
276,Itupiranga,BR,82.72,overcast clouds,-5.1347,-49.3267,Hotel Panorama
277,Najran,SA,61.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
278,Baculin,PH,77.47,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
279,Lydenburg,ZA,60.28,scattered clouds,-25.0978,30.4597,The Palms Boutique Hotel
281,Conde,BR,78.26,clear sky,-7.2597,-34.9075,Pousada Beija Flor
282,Nova Olimpia,BR,76.26,few clouds,-14.7972,-57.2881,Motel glamour
283,Lindi,TZ,74.23,few clouds,-10.0,39.7167,Lindi paradise house
284,Akom,CM,66.97,broken clouds,2.6678,12.7109,Complexe Hôtelier Jeannette
286,Fortuna,US,62.42,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
292,Ixtapa,MX,79.83,clear sky,20.7,-105.2,hotel la terminal
293,Elat,IL,71.44,broken clouds,29.5581,34.9482,Club Hotel Eilat
295,Taltal,CL,70.07,scattered clouds,-25.4,-70.4833,Residencial Karime
296,Kloulklubed,PW,77.5,moderate rain,7.0419,134.2556,Storyboard Beach Resort
299,La Palma,US,67.77,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
300,San Patricio,US,83.08,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
301,Constitucion,CL,62.46,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
303,Sinnamary,GF,75.7,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
306,Camargo,MX,85.5,clear sky,27.6667,-105.1667,Hotel Santa Fe
310,Lewisburg,US,77.09,few clouds,35.4492,-86.7889,Celebration Inn
311,Imbituba,BR,84.09,moderate rain,-28.24,-48.6703,Praia Hotel Imbituba
313,Fort Wellington,GY,76.51,overcast clouds,6.4,-57.6,TE'AMO Entertainment Park
314,Nhulunbuy,AU,83.01,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
316,Ocean City,US,70.3,overcast clouds,39.2776,-74.5746,Biscayne Suites
320,Porangatu,BR,73.08,overcast clouds,-13.4408,-49.1486,Wembley Park Hotel
321,Anupgarh,IN,71.19,broken clouds,29.1911,73.2086,Kushal & Vishal DTH Kappa Internet Service
322,Tamandare,BR,79.47,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
323,Galesong,ID,75.22,moderate rain,-5.3166,119.3661,Sapriadi Appy
324,Huntington,US,63.09,moderate rain,38.4193,-82.4452,Ramada Limited Huntington
327,Nushki,PK,62.73,few clouds,29.5542,66.0215,Shams hotel
329,Mogadishu,SO,78.22,few clouds,2.0371,45.3438,Hotel Juba
332,Sambava,MG,75.16,overcast clouds,-14.2667,50.1667,Melrose
333,Mineros,BO,87.39,moderate rain,-17.1167,-63.2333,Colpacaranda Eco Resort
334,Terra Santa,BR,77.0,overcast clouds,-2.1042,-56.4869,Hotel Sarah
335,Mandurah,AU,72.21,clear sky,-32.55,115.7,Atrium Hotel Mandurah
337,Salta,AR,80.89,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
339,Comodoro Rivadavia,AR,62.46,scattered clouds,-45.8667,-67.5,Austral Hotel
348,Kirakira,SB,84.63,broken clouds,-10.4544,161.9205,SanBiz Lodge
352,Cape Canaveral,US,81.03,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
353,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
356,Ambilobe,MG,71.83,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
357,Isangel,VU,82.9,clear sky,-19.55,169.2667,Tanna Lodge
358,Lompoc,US,66.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
359,Saint-Joseph,RE,77.38,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
361,Geraldton,AU,72.01,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
363,Hirara,JP,66.06,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
